City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sokolovo,RU,2022-10-03 14:20:49,52.5318,84.7896,30.31,87,0,4.92
59,Kotido,UG,2022-10-03 14:20:50,2.9806,34.1331,80.2,41,100,12.01
60,Chapais,CA,2022-10-03 14:17:48,49.7834,-74.8492,44.38,47,85,8.97
61,Tessalit,ML,2022-10-03 14:20:50,20.1986,1.0114,104.79,7,5,15.7
62,Atambua,ID,2022-10-03 14:20:51,-9.1061,124.8925,76.96,85,95,0.56
63,Kahului,US,2022-10-03 14:20:52,20.8947,-156.47,75.85,89,100,5.75
64,Bredasdorp,ZA,2022-10-03 14:20:53,-34.5322,20.0403,64.4,53,84,20.62
65,Conakry,GN,2022-10-03 14:20:53,9.538,-13.6773,84.27,79,75,9.22
66,Naze,JP,2022-10-03 14:20:54,28.3667,129.4833,76.64,80,18,10.51
67,Bambous Virieux,MU,2022-10-03 14:20:54,-20.3428,57.7575,73.22,78,75,13.8
68,Hermanus,ZA,2022-10-03 14:20:54,-34.4187,19.2345,64.8,67,44,17.9
69,Mayumba,GA,2022-10-03 14:20:55,-3.432,10.6554,79.11,78,94,8.84
70,Makakilo City,US,2022-10-03 14:20:55,21.3469,-158.0858,75.69,85,0,5.75
71,Los Banos,PH,2022-10-03 14:20:56,14.1667,121.1833,79.79,90,93,6.08
72,Vaini,TO,2022-10-03 14:20:56,-21.2,-175.2,75.36,83,75,5.75
73,Brae,GB,2022-10-03 14:20:57,60.3964,-1.353,55.4,81,100,11.63
74,Ribeira Grande,PT,2022-10-03 14:20:57,38.5167,-28.7,75.6,78,20,8.05
75,Santa Isabel Do Rio Negro,BR,2022-10-03 14:20:57,-0.4139,-65.0192,87.64,56,97,2.37
76,Luanda,AO,2022-10-03 14:18:30,-8.8368,13.2343,78.8,69,40,10.36
77,Rikitea,PF,2022-10-03 14:20:58,-23.1203,-134.9692,72.61,74,54,11.95
78,Tautira,PF,2022-10-03 14:20:59,-17.7333,-149.15,77.45,77,45,18.63
79,Xiongyue,CN,2022-10-03 14:21:00,40.1774,122.1228,48.7,74,100,30.56
80,Ayorou,NE,2022-10-03 14:21:00,14.7308,0.9174,105.58,16,9,11.18
81,Mpika,ZM,2022-10-03 14:21:01,-11.8343,31.4529,84.61,17,0,9.44
82,Boali,CF,2022-10-03 14:21:01,4.8005,18.1275,81.3,74,77,7.85
83,Saldanha,ZA,2022-10-03 14:21:02,-33.0117,17.9442,68.05,67,85,14.05
84,Maumelle,US,2022-10-03 14:21:02,34.8668,-92.4043,65.88,67,0,1.99
85,Hithadhoo,MV,2022-10-03 14:21:03,-0.6,73.0833,82.09,68,85,14.2
86,Leningradskiy,RU,2022-10-03 14:21:03,69.3833,178.4167,30.02,92,100,11.16
87,Zaykovo,RU,2022-10-03 14:21:04,57.5613,62.7568,48.25,76,100,9.08
88,Portland,US,2022-10-03 14:16:16,45.5234,-122.6762,58.69,92,100,4.0
89,Athabasca,CA,2022-10-03 14:21:05,54.7169,-113.2854,42.69,51,100,4.5
90,Bluff,NZ,2022-10-03 14:21:05,-46.6,168.3333,44.01,74,64,18.88
91,Bangkalan,ID,2022-10-03 14:21:06,-7.0455,112.7351,76.95,80,100,7.14
92,Carnarvon,AU,2022-10-03 14:22:06,-24.8667,113.6333,68.65,67,0,20.54
93,Weihai,CN,2022-10-03 14:22:07,37.5017,122.1136,59.05,92,100,30.04
94,Yingkou,CN,2022-10-03 14:22:07,40.6648,122.2283,47.37,62,100,24.23
95,Acapulco,MX,2022-10-03 14:19:36,16.8634,-99.8901,78.62,78,100,5.75
96,Isangel,VU,2022-10-03 14:22:09,-19.55,169.2667,74.75,80,98,5.73
97,Cornereva,RO,2022-10-03 14:22:09,45.0667,22.4167,52.39,74,76,12.55
98,Airai,TL,2022-10-03 14:22:10,-8.9266,125.4092,63.25,94,98,1.19
99,Saint-Georges,GD,2022-10-03 14:22:10,12.0564,-61.7485,87.48,74,40,11.5
100,Guiratinga,BR,2022-10-03 14:22:10,-16.3494,-53.7583,89.74,39,10,3.83
101,Kaitangata,NZ,2022-10-03 14:22:11,-46.2817,169.8464,35.65,88,1,6.85
102,Abeche,TD,2022-10-03 14:22:11,13.8292,20.8324,93.81,31,82,5.73
103,Itarema,BR,2022-10-03 14:22:12,-2.9248,-39.9167,88.52,50,56,16.2
104,Nanortalik,GL,2022-10-03 14:22:12,60.1432,-45.2371,36.91,68,100,1.7
105,Nokaneng,BW,2022-10-03 14:22:13,-19.6667,22.2667,100.17,6,0,8.66
106,Cleethorpes,GB,2022-10-03 14:22:13,53.5605,-0.0323,61.05,63,20,10.36
107,Ostersund,SE,2022-10-03 14:22:14,63.1792,14.6357,52.25,62,40,10.36
108,Kerkini,GR,2022-10-03 14:22:14,41.2167,23.0833,76.08,37,51,9.44
109,Qaanaaq,GL,2022-10-03 14:22:14,77.484,-69.3632,12.2,67,99,7.0
110,Coahuayana,MX,2022-10-03 14:22:15,18.7333,-103.6833,74.88,95,100,3.65
111,Port Hedland,AU,2022-10-03 14:22:15,-20.3167,118.5667,71.65,83,0,6.91
112,Narsaq,GL,2022-10-03 14:22:16,60.9167,-46.05,39.42,46,14,3.15
113,Kieta,PG,2022-10-03 14:22:16,-6.2167,155.6333,78.8,85,100,5.41
114,Najran,SA,2022-10-03 14:22:16,17.4924,44.1277,88.45,11,6,16.11
115,Kutum,SD,2022-10-03 14:22:17,14.2,24.6667,87.35,27,99,3.47
116,Hareid,NO,2022-10-03 14:22:18,62.3714,6.0263,54.3,86,100,10.0
117,Panguna,PG,2022-10-03 14:22:18,-6.3164,155.4848,68.2,96,100,2.08
118,Tamandare,BR,2022-10-03 14:22:18,-8.7597,-35.1047,82.11,54,5,10.04
119,Ardesen,TR,2022-10-03 14:22:19,41.1911,40.9875,66.83,86,80,4.45
120,Port Blair,IN,2022-10-03 14:22:19,11.6667,92.75,81.99,81,100,5.93
121,College,US,2022-10-03 14:18:22,64.8569,-147.8028,40.06,90,100,5.75
122,Beloha,MG,2022-10-03 14:22:20,-25.1667,45.05,78.33,52,0,10.85
123,Bud,US,2022-10-03 14:22:21,39.447,-86.1758,55.85,78,0,10.09
124,Dinguiraye,GN,2022-10-03 14:22:21,11.3,-10.7167,81.28,66,81,4.72
125,Merauke,ID,2022-10-03 14:22:21,-8.4667,140.3333,79.54,85,15,13.2
126,Castro,BR,2022-10-03 14:22:22,-24.7911,-50.0119,63.01,84,98,5.86
127,Florian,CO,2022-10-03 14:22:22,5.8049,-73.9703,71.73,58,47,3.56
128,Tiksi,RU,2022-10-03 14:22:23,71.6872,128.8694,20.64,93,98,10.07
129,Bahadurganj,IN,2022-10-03 14:22:23,26.2667,87.8167,78.44,87,100,9.48
130,Manggar,ID,2022-10-03 14:22:24,-2.8833,108.2667,79.81,80,100,2.59
131,Hobyo,SO,2022-10-03 14:22:24,5.3505,48.5268,78.51,75,47,26.15
132,Alyangula,AU,2022-10-03 14:22:25,-13.8483,136.4192,80.78,83,100,9.26
133,Barrow,US,2022-10-03 14:18:17,71.2906,-156.7887,24.82,86,100,16.11
134,Ketchikan,US,2022-10-03 14:22:25,55.3422,-131.6461,46.87,93,100,4.61
135,Faanui,PF,2022-10-03 14:22:26,-16.4833,-151.75,78.26,75,4,17.52
136,Bathsheba,BB,2022-10-03 14:22:26,13.2167,-59.5167,86.61,74,40,13.8
137,Kodiak,US,2022-10-03 14:22:27,57.79,-152.4072,36.91,87,0,3.44
138,Arraial Do Cabo,BR,2022-10-03 14:23:28,-22.9661,-42.0278,71.56,88,75,9.22
139,Woodstock,CA,2022-10-03 14:21:38,43.1334,-80.7497,53.42,64,16,1.01
140,Eureka,US,2022-10-03 14:21:09,40.8021,-124.1637,56.93,87,3,2.8
141,Yellowknife,CA,2022-10-03 14:21:17,62.456,-114.3525,34.32,93,40,6.91
142,Manzhouli,CN,2022-10-03 14:23:29,49.6,117.4333,25.68,34,0,6.58
143,Talnakh,RU,2022-10-03 14:23:29,69.4865,88.3972,33.21,96,100,15.26
144,Klaksvik,FO,2022-10-03 14:23:29,62.2266,-6.589,50.92,88,100,17.31
145,Nago,JP,2022-10-03 14:23:30,26.5881,127.9761,83.25,78,3,7.65
146,Dzaoudzi,YT,2022-10-03 14:23:30,-12.7887,45.2699,80.49,65,20,3.44
147,Oriximina,BR,2022-10-03 14:23:31,-1.7656,-55.8661,89.42,52,100,0.89
148,Korla,CN,2022-10-03 14:23:31,41.7597,86.1469,55.31,17,53,9.17
149,Namibe,AO,2022-10-03 14:23:32,-15.1961,12.1522,71.01,73,58,11.34
150,Saint-Philippe,RE,2022-10-03 14:23:32,-21.3585,55.7679,72.99,76,66,8.3
151,Encs,HU,2022-10-03 14:23:33,48.3333,21.1333,58.3,60,99,13.27
152,Palmer,US,2022-10-03 14:22:53,42.1584,-72.3287,49.77,70,75,13.8
153,Saskylakh,RU,2022-10-03 14:23:33,71.9167,114.0833,15.62,97,97,4.79
154,Preobrazheniye,RU,2022-10-03 14:23:34,42.9019,133.9064,59.52,91,100,6.02
155,Asekeyevo,RU,2022-10-03 14:23:34,53.5742,52.7972,57.51,37,16,13.4
156,Victoria,HK,2022-10-03 14:22:06,22.2855,114.1577,87.19,80,6,5.99
157,Laguna,US,2022-10-03 14:23:07,38.421,-121.4238,62.01,87,0,4.61
158,Ninotsminda,GE,2022-10-03 14:23:35,41.2646,43.5916,56.41,64,83,3.78
159,Atar,MR,2022-10-03 14:23:35,20.5169,-13.0499,95.72,27,100,3.56
160,Lulea,SE,2022-10-03 14:23:36,65.5842,22.1547,46.47,93,75,4.61
161,Chikola,RU,2022-10-03 14:23:36,43.1906,43.9209,54.45,95,99,2.17
162,Bekwai,GH,2022-10-03 14:23:36,6.4534,-1.5774,86.25,62,78,3.22
163,Severo-Kurilsk,RU,2022-10-03 14:23:38,50.6789,156.125,47.8,86,54,6.22
164,Nouadhibou,MR,2022-10-03 14:23:38,20.931,-17.0347,91.38,33,93,10.36
165,Nome,US,2022-10-03 14:23:38,64.5011,-165.4064,41.07,81,100,11.5
166,Chifeng,CN,2022-10-03 14:23:39,42.2683,118.9636,36.36,38,0,14.61
167,Cukai,MY,2022-10-03 14:23:39,4.25,103.4167,77.97,86,100,3.13
168,Betong,TH,2022-10-03 14:23:40,5.7743,101.0723,72.07,98,100,1.9
169,Atikokan,CA,2022-10-03 14:23:40,48.7555,-91.6216,56.46,70,80,7.92
170,Bourail,NC,2022-10-03 14:23:42,-21.5667,165.4833,67.68,79,100,7.9
171,Tripoli,LY,2022-10-03 14:23:42,32.8752,13.1875,78.94,62,78,13.13
172,Vardo,NO,2022-10-03 14:23:42,70.3705,31.1107,42.78,81,100,3.44
173,Manadhoo,MV,2022-10-03 14:23:43,5.7667,73.3833,81.48,78,50,20.67
174,North Bend,US,2022-10-03 14:23:42,43.4065,-124.2243,56.91,96,100,0.0
175,Ingham,US,2022-10-03 14:23:43,42.6,-84.3833,48.9,81,0,0.0
176,Coihaique,CL,2022-10-03 14:22:02,-45.5752,-72.0662,48.81,81,75,3.44
177,Bethel,US,2022-10-03 14:23:44,41.3712,-73.414,50.9,71,97,4.0
178,Marsa Matruh,EG,2022-10-03 14:23:44,31.3525,27.2453,82.6,47,0,13.8
179,Dieppe,FR,2022-10-03 14:21:33,49.75,1.1667,60.33,55,91,7.61
180,Mahebourg,MU,2022-10-03 14:23:45,-20.4081,57.7,73.26,78,75,13.8
181,Sao Filipe,CV,2022-10-03 14:23:45,14.8961,-24.4956,80.02,77,57,12.03
182,Fonte Boa,BR,2022-10-03 14:23:46,-2.4959,-66.2662,87.66,56,34,2.42
183,Longyearbyen,SJ,2022-10-03 14:23:46,78.2186,15.6401,39.04,75,75,5.75
184,Dingle,PH,2022-10-03 14:23:47,10.9995,122.6711,77.5,89,100,5.21
185,Saint-Pierre,RE,2022-10-03 14:23:47,-21.3393,55.4781,76.57,73,100,11.5
186,Tasiilaq,GL,2022-10-03 14:23:50,65.6145,-37.6368,35.76,99,100,6.44
187,Hargeysa,SO,2022-10-03 14:23:51,9.56,44.065,75.88,52,100,12.57
188,Saint Anthony,US,2022-10-03 14:24:51,45.0205,-93.218,61.09,74,100,12.66
189,Pevek,RU,2022-10-03 14:24:52,69.7008,170.3133,28.6,75,100,10.54
190,Ziarat,PK,2022-10-03 14:24:52,30.3823,67.7282,61.34,28,0,5.21
191,Namatanai,PG,2022-10-03 14:24:53,-3.6667,152.4333,79.18,79,22,7.81
192,Rock Sound,BS,2022-10-03 14:24:53,24.9,-76.2,82.08,69,8,12.46
193,Antofagasta,CL,2022-10-03 14:24:53,-23.65,-70.4,60.08,54,9,5.28
194,Komsomolskiy,UZ,2022-10-03 14:24:54,40.4272,71.7189,70.52,30,98,2.3
195,Aklavik,CA,2022-10-03 14:24:56,68.2191,-135.0107,20.77,96,95,2.33
196,Gat,IL,2022-10-03 14:20:55,31.61,34.7642,84.4,100,7,10.74
197,Umm Lajj,SA,2022-10-03 14:24:56,25.0213,37.2685,87.04,60,0,7.54
198,Codrington,AU,2022-10-03 14:24:57,-38.2667,141.9667,50.76,93,100,6.73
199,Quatre Cocos,MU,2022-10-03 14:24:58,-20.2078,57.7625,73.09,76,69,13.69
200,Ndele,CF,2022-10-03 14:24:59,8.4109,20.6473,82.13,78,72,4.23
201,Sitka,US,2022-10-03 14:25:00,57.0531,-135.33,44.49,87,0,4.61
202,Mazamari,PE,2022-10-03 14:25:00,-11.3258,-74.5308,81.28,64,23,1.88
203,Deputatskiy,RU,2022-10-03 14:25:01,69.3,139.9,13.59,94,100,5.17
204,Ewa Beach,US,2022-10-03 14:25:01,21.3156,-158.0072,77.09,86,0,5.75
205,Diffa,NE,2022-10-03 14:25:01,13.3154,12.6113,100.45,20,11,4.09
206,Brazzaville,CG,2022-10-03 14:25:02,-4.2658,15.2832,89.13,46,97,4.41
207,San Patricio,US,2022-10-03 14:25:03,28.017,-97.5169,75.83,59,100,4.56
208,Harper,LR,2022-10-03 14:25:03,4.375,-7.7169,79.27,82,81,9.24
209,Katsuura,JP,2022-10-03 14:25:04,35.1333,140.3,74.55,73,22,10.33
210,Fortuna,US,2022-10-03 14:25:04,40.5982,-124.1573,56.66,87,2,2.24
211,Torbay,CA,2022-10-03 14:25:05,47.6666,-52.7314,49.57,56,75,19.57
212,San Cristobal,VE,2022-10-03 14:24:01,7.7669,-72.225,78.98,53,11,5.32
213,Shorkot,PK,2022-10-03 14:25:07,31.9099,70.8774,93.4,21,0,7.74
214,Pingliang,CN,2022-10-03 14:25:08,35.5392,106.6861,51.39,74,100,7.94
215,Huarmey,PE,2022-10-03 14:25:08,-10.0681,-78.1522,64.94,79,28,7.85
216,Surt,LY,2022-10-03 14:25:09,31.2089,16.5887,78.84,62,1,14.27
217,Provideniya,RU,2022-10-03 14:25:10,64.3833,-173.3,35.4,83,63,9.13
218,Sobolevo,RU,2022-10-03 14:25:10,54.4299,31.8996,41.92,95,100,4.88
219,Pangody,RU,2022-10-03 14:25:10,65.85,74.4859,37.72,94,100,21.39
220,Yulara,AU,2022-10-03 14:25:11,-25.2406,130.9889,64.44,61,0,3.96
221,Ayan,RU,2022-10-03 14:25:11,56.45,138.1667,35.08,60,99,11.14
222,Timbiqui,CO,2022-10-03 14:25:12,2.7717,-77.6654,79.21,86,88,3.62
223,Cherskiy,RU,2022-10-03 14:25:13,68.75,161.3,25.72,78,100,8.25
224,Ereymentau,KZ,2022-10-03 14:25:13,51.6199,73.1033,37.09,52,0,7.7
225,Peleduy,RU,2022-10-03 14:25:14,59.6289,112.7406,29.64,84,99,3.11
226,Dunedin,NZ,2022-10-03 14:25:14,-45.8742,170.5036,39.45,80,0,6.04
227,Canmore,CA,2022-10-03 14:22:39,51.0834,-115.3521,52.39,99,14,1.14
228,Sao Joao Da Barra,BR,2022-10-03 14:21:59,-21.6403,-41.0511,75.29,81,100,8.61
229,Hasaki,JP,2022-10-03 14:25:15,35.7333,140.8333,68.29,71,7,10.74
230,Igrim,RU,2022-10-03 14:25:16,63.1906,64.4162,48.13,94,100,8.01
231,Itanhaem,BR,2022-10-03 14:25:16,-24.1831,-46.7889,67.75,88,99,3.04
232,Vila Velha,BR,2022-10-03 14:25:17,-20.3297,-40.2925,80.55,82,75,9.22
233,Aksarka,RU,2022-10-03 14:25:17,66.5606,67.7975,37.33,97,100,12.28
234,Bilibino,RU,2022-10-03 14:26:17,68.0546,166.4372,22.86,88,100,4.14
235,Poum,NC,2022-10-03 14:26:18,-20.2333,164.0167,73.29,74,40,25.64
236,Algiers,DZ,2022-10-03 14:26:18,36.7525,3.042,80.42,54,75,2.3
237,Sakaiminato,JP,2022-10-03 14:26:19,35.55,133.2333,75.18,69,75,9.22
238,Shimoda,JP,2022-10-03 14:26:19,34.6667,138.95,67.1,75,7,3.38
239,Nara,JP,2022-10-03 14:26:20,34.6851,135.8049,76.32,60,34,3.51
240,Sa Kaeo,TH,2022-10-03 14:26:20,13.75,102.3333,74.07,96,100,3.58
241,Mananjary,MG,2022-10-03 14:26:21,-21.2167,48.3333,74.39,71,0,14.23
242,Matara,LK,2022-10-03 14:26:22,5.9485,80.5353,78.75,83,65,14.47
243,Clyde River,CA,2022-10-03 14:26:23,70.4692,-68.5914,30.43,86,100,3.44
244,Qaqortoq,GL,2022-10-03 14:26:23,60.7167,-46.0333,37.67,53,40,3.83
245,Watertown,US,2022-10-03 14:21:53,42.3709,-71.1828,54.41,67,75,21.85
246,Muroto,JP,2022-10-03 14:26:24,33.2833,134.15,76.05,78,51,6.13
