City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Lebu,CL,-37.6167,-73.65,48.24,93,14,3.13,few clouds
69,Norman Wells,CA,65.282,-126.8329,36.07,89,25,10.27,scattered clouds
70,Codrington,AU,-38.2667,141.9667,53.37,96,100,16.15,light rain
71,Kapaa,US,22.0752,-159.319,82.38,74,40,13.8,scattered clouds
72,Rorvik,NO,64.8621,11.2373,50.11,93,20,8.05,few clouds
73,Hasaki,JP,35.7333,140.8333,70.2,86,100,24.92,overcast clouds
74,Ostrovnoy,RU,68.0531,39.5131,46.26,92,100,13.15,overcast clouds
75,Dingle,PH,10.9995,122.6711,87.78,67,95,10.07,overcast clouds
76,Honiara,SB,-9.4333,159.95,87.13,51,51,8.84,broken clouds
77,Naruja,GE,41.9069,41.9542,62.92,93,100,1.79,overcast clouds
78,Pevek,RU,69.7008,170.3133,27.88,70,76,4.83,broken clouds
79,Diamantino,BR,-14.4086,-56.4461,76.44,70,52,4.47,broken clouds
80,Tilichiki,RU,60.4667,166.1,44.1,97,100,18.5,moderate rain
81,Jamestown,US,42.097,-79.2353,49.64,70,0,10.36,clear sky
82,Tuktoyaktuk,CA,69.4541,-133.0374,31.91,89,24,14.34,few clouds
83,Nouakchott,MR,18.0858,-15.9785,81.28,72,69,15.14,broken clouds
84,Rikitea,PF,-23.1203,-134.9692,70.29,62,89,23.69,overcast clouds
85,Zhangye,CN,38.9342,100.4517,57.4,31,90,12.53,overcast clouds
86,Balod,IN,20.73,81.2047,80.13,82,100,5.17,overcast clouds
87,Broken Hill,AU,-31.95,141.4333,80.51,29,4,20.38,clear sky
88,Lasa,IT,46.6166,10.7002,54.97,51,30,1.34,scattered clouds
89,Georgetown,MY,5.4112,100.3354,83.89,79,20,12.66,few clouds
90,Ahuimanu,US,21.4447,-157.8378,80.31,82,100,11.5,moderate rain
91,Dalbandin,PK,28.8947,64.4101,80.06,9,0,3.98,clear sky
92,Samur,RU,41.8253,48.486,67.98,71,0,10.69,clear sky
93,Deshnok,IN,27.7986,73.3447,90.18,24,6,9.84,clear sky
94,Yellowknife,CA,62.456,-114.3525,33.57,64,1,10.0,clear sky
95,Savinka,RU,50.0785,47.0994,55.99,64,100,10.29,overcast clouds
96,Qui Nhon,VN,13.7667,109.2333,82.44,80,96,8.95,overcast clouds
97,Hermanus,ZA,-34.4187,19.2345,45.81,78,52,5.28,broken clouds
98,Kyren,RU,51.6828,102.1408,41.27,38,1,1.03,clear sky
99,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.63,95,100,5.77,overcast clouds
100,Clyde River,CA,70.4692,-68.5914,25.03,86,100,18.41,light snow
101,Yerbogachen,RU,61.2767,108.0108,33.03,57,100,11.7,overcast clouds
102,Horta,PT,38.5333,-28.6333,65.84,77,75,24.16,light rain
103,Brae,GB,60.3964,-1.353,51.71,75,100,14.34,overcast clouds
104,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,47,0,13.8,clear sky
105,Zalari,RU,53.5584,102.5065,39.97,51,29,3.83,scattered clouds
106,Marbella,ES,36.5154,-4.8858,65.25,100,0,5.32,clear sky
107,Vestmannaeyjar,IS,63.4427,-20.2734,41.52,75,97,40.11,overcast clouds
108,Port Hardy,CA,50.6996,-127.4199,58.42,87,96,5.82,overcast clouds
109,Bahia Blanca,AR,-38.7196,-62.2724,54.88,91,100,6.17,light rain
110,Severo-Kurilsk,RU,50.6789,156.125,45.32,74,98,22.3,overcast clouds
111,Tuatapere,NZ,-46.1333,167.6833,36.12,75,100,20.09,overcast clouds
112,Sitka,US,57.0531,-135.33,55.81,69,100,6.51,overcast clouds
113,Bethel,US,41.3712,-73.414,55.76,88,100,11.5,overcast clouds
114,Puerto Ayora,EC,-0.7393,-90.3518,66.54,93,31,7.0,scattered clouds
115,Nanortalik,GL,60.1432,-45.2371,38.01,95,100,24.61,light rain
116,Bandarbeyla,SO,9.4942,50.8122,78.76,74,100,19.86,overcast clouds
117,Charters Towers,AU,-20.1,146.2667,85.71,37,63,9.17,broken clouds
118,Bonthe,SL,7.5264,-12.505,76.64,90,100,1.68,overcast clouds
119,Mount Isa,AU,-20.7333,139.5,83.97,54,99,11.5,overcast clouds
120,Thompson,CA,55.7435,-97.8558,48.42,52,70,3.67,broken clouds
121,Lavrentiya,RU,65.5833,-171.0,35.64,76,8,7.52,clear sky
122,Vao,NC,-22.6667,167.4833,69.13,60,4,9.55,clear sky
123,Guerrero Negro,MX,27.9769,-114.0611,70.05,80,3,12.64,clear sky
124,Tamandare,BR,-8.7597,-35.1047,74.48,81,35,5.66,scattered clouds
125,Shingu,JP,33.7333,135.9833,75.92,81,90,1.03,overcast clouds
126,Hrubieszow,PL,50.805,23.8925,43.68,94,91,7.05,overcast clouds
127,Nelson Bay,AU,-32.7167,152.15,63.0,91,100,15.99,light rain
128,Kynashiv,UA,48.6705,28.9037,49.08,84,69,10.36,broken clouds
129,Mehamn,NO,71.0357,27.8492,42.75,81,40,13.8,scattered clouds
130,Cabo San Lucas,MX,22.8909,-109.9124,79.61,77,2,5.44,clear sky
131,Mecca,SA,21.4267,39.8261,84.24,24,1,0.43,clear sky
132,Atuona,PF,-9.8,-139.0333,76.8,69,23,21.92,few clouds
133,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,3.44,light rain
134,Port Lincoln,AU,-34.7333,135.8667,64.78,67,78,12.68,broken clouds
135,Manama,BH,26.2154,50.5832,84.18,84,0,11.5,clear sky
136,Asyut,EG,27.181,31.1837,72.09,54,0,7.49,clear sky
137,Yining,CN,29.0361,114.5636,67.46,65,100,2.8,overcast clouds
138,Atbasar,KZ,51.8,68.3333,48.79,29,28,3.94,scattered clouds
139,Pastavy,BY,55.1168,26.8326,44.2,96,84,9.17,broken clouds
140,Yarensk,RU,62.1675,49.0916,46.8,93,100,4.72,overcast clouds
141,San Joaquin,US,37.9333,-121.3011,74.23,64,0,6.91,clear sky
142,Lakes Entrance,AU,-37.8811,147.981,60.17,61,100,20.33,overcast clouds
143,Chara,RU,56.9064,118.2631,26.69,56,28,5.19,scattered clouds
144,Belmonte,BR,-15.8631,-38.8828,73.33,81,39,9.69,scattered clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,68.16,87,100,5.26,overcast clouds
146,Ponta Do Sol,PT,32.6667,-17.1,71.71,68,76,4.25,broken clouds
147,Hithadhoo,MV,-0.6,73.0833,82.53,71,97,17.78,overcast clouds
148,Avarua,CK,-21.2078,-159.775,77.05,69,20,19.57,few clouds
149,Chuy,UY,-33.6971,-53.4616,52.56,92,0,4.38,clear sky
150,Dalhousie,IN,32.5333,75.9833,65.25,45,0,3.15,clear sky
151,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,90,70,4.97,broken clouds
152,Itarema,BR,-2.9248,-39.9167,77.25,79,48,16.62,scattered clouds
153,Carnarvon,AU,-24.8667,113.6333,71.8,59,24,13.76,few clouds
154,Loding,NO,67.3,14.75,46.83,90,75,9.22,light rain
155,Yar-Sale,RU,66.8333,70.8333,37.38,81,100,9.82,overcast clouds
156,Cap Malheureux,MU,-19.9842,57.6142,74.46,65,86,10.0,overcast clouds
157,Ucluelet,CA,48.9329,-125.5528,60.1,88,99,6.82,overcast clouds
158,Qaanaaq,GL,77.484,-69.3632,16.5,81,100,5.44,overcast clouds
159,Saint George,US,37.1041,-113.5841,79.25,28,0,5.75,clear sky
160,Pangkalanbuun,ID,-2.6833,111.6167,88.25,63,94,0.78,overcast clouds
161,Olafsvik,IS,64.8945,-23.7142,41.85,85,100,30.8,overcast clouds
162,Marawi,PH,7.9986,124.2928,80.74,69,63,5.32,broken clouds
163,Hamilton,US,39.1834,-84.5333,54.45,74,0,0.0,clear sky
164,Vila Velha,BR,-20.3297,-40.2925,69.75,96,100,6.91,overcast clouds
165,Matagami,CA,49.7502,-77.6328,53.71,94,100,0.0,overcast clouds
166,Enid,US,36.3956,-97.8784,70.3,41,0,1.01,clear sky
167,Faanui,PF,-16.4833,-151.75,78.35,71,14,25.21,few clouds
168,Maarianhamina,AX,60.0973,19.9348,53.46,94,100,11.5,overcast clouds
169,Kloulklubed,PW,7.0419,134.2556,84.7,89,100,13.24,overcast clouds
170,Hokitika,NZ,-42.7167,170.9667,47.57,58,75,28.74,broken clouds
171,Kruisfontein,ZA,-34.0033,24.7314,53.89,89,5,5.84,clear sky
172,Hudson Bay,CA,52.85,-102.3842,54.05,66,45,0.94,scattered clouds
173,Sinnamary,GF,5.3833,-52.95,77.58,88,8,7.9,clear sky
174,Porong,ID,-7.5452,112.6955,85.91,55,100,5.48,overcast clouds
175,Hope,US,33.6671,-93.5916,66.25,53,0,4.92,clear sky
176,Fortuna,US,40.5982,-124.1573,58.93,82,66,3.0,broken clouds
177,Kavieng,PG,-2.5744,150.7967,84.87,64,62,15.95,broken clouds
178,Kalabo,ZM,-14.97,22.6814,64.67,27,1,5.5,clear sky
179,Muros,ES,42.7762,-9.0603,55.09,95,1,4.79,clear sky
180,Isla Mujeres,MX,21.2311,-86.731,73.45,60,47,9.22,scattered clouds
181,Torbay,CA,47.6666,-52.7314,49.26,90,0,5.01,clear sky
182,Araouane,ML,18.9048,-3.5265,89.56,13,0,5.64,clear sky
183,Victoria,HK,22.2855,114.1577,91.45,76,50,8.99,scattered clouds
184,San Felipe,VE,10.3399,-68.7425,72.95,98,61,0.76,broken clouds
185,Katsuura,JP,35.1333,140.3,70.12,86,100,21.94,overcast clouds
186,Benguela,AO,-12.5763,13.4055,71.69,82,41,5.53,scattered clouds
187,Kaitangata,NZ,-46.2817,169.8464,35.53,87,95,19.77,light rain
188,Seguela,CI,7.9611,-6.6731,70.16,99,79,5.57,broken clouds
189,Kodiak,US,57.79,-152.4072,51.31,87,100,20.71,moderate rain
190,Chicama,PE,-7.8447,-79.1469,57.74,83,38,5.79,scattered clouds
191,Quatre Cocos,MU,-20.2078,57.7625,74.08,72,87,11.48,overcast clouds
192,Haukipudas,FI,65.1765,25.3523,30.25,84,96,9.17,overcast clouds
193,Gigmoto,PH,13.7796,124.39,85.01,75,97,6.64,heavy intensity rain
194,Puerto Carreno,CO,6.189,-67.4859,76.19,90,100,4.32,moderate rain
195,Pangnirtung,CA,66.1451,-65.7125,32.99,69,99,4.72,overcast clouds
196,Grand Gaube,MU,-20.0064,57.6608,74.37,65,90,10.0,overcast clouds
197,Chokurdakh,RU,70.6333,147.9167,25.32,79,98,6.62,overcast clouds
198,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,77.25,53,0,1.41,clear sky
199,Ustupo,PA,9.1333,-77.9333,78.53,89,100,5.86,overcast clouds
200,Tommot,RU,58.9564,126.2925,31.1,74,100,13.38,light snow
201,Nikolskoye,RU,59.7035,30.7861,45.81,96,82,3.67,broken clouds
202,Hambantota,LK,6.1241,81.1185,84.29,67,99,20.4,overcast clouds
203,Mairwa,IN,26.2333,84.15,75.45,93,100,12.44,overcast clouds
204,Kushima,JP,31.4583,131.2333,84.16,62,34,2.71,scattered clouds
205,Flin Flon,CA,54.7682,-101.865,50.65,57,54,3.04,broken clouds
206,Aklavik,CA,68.2191,-135.0107,26.46,94,6,6.98,clear sky
207,Melfort,CA,52.8667,-104.6177,55.98,59,19,8.3,few clouds
208,Athabasca,CA,54.7169,-113.2854,50.9,45,81,7.16,broken clouds
209,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,33.38,broken clouds
210,Sengiley,RU,53.9622,48.7944,47.55,81,100,15.75,overcast clouds
211,Corovode,AL,40.5042,20.2272,50.92,62,0,7.34,clear sky
212,Fritzlar,DE,51.1333,9.2833,47.68,100,20,4.61,few clouds
213,Bucarasica,CO,8.041,-72.8654,65.39,96,100,1.81,overcast clouds
214,Kremenchuk,UA,49.0973,33.4197,49.32,86,93,11.65,overcast clouds
215,Gossaigaon,IN,26.4481,89.989,80.64,85,100,6.04,overcast clouds
216,Ilulissat,GL,69.2167,-51.1,30.22,55,18,2.3,few clouds
