City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
456,Vega De Alatorre,MX,76.12,broken clouds,20.0333,-96.6333,Hotel D Luxe
457,Sibolga,ID,75.38,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
465,Mana,GF,77.74,scattered clouds,5.6592,-53.7767,LE SAMANA
479,Placido De Castro,BR,76.14,scattered clouds,-10.3353,-67.1856,Hotel Carioca
481,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
482,Thinadhoo,MV,81.39,overcast clouds,0.5333,72.9333,
484,Manasa,IN,79.29,overcast clouds,24.4837,75.2687,Sameer patel
486,Anori,BR,77.02,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
492,Laguna,US,77.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
493,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
498,Harper,LR,76.42,light rain,4.375,-7.7169,Screensaver
501,Codajas,BR,77.23,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
507,Najran,SA,75.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
508,Maturin,VE,78.64,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
516,Cockburn Town,TC,82.09,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
519,Noumea,NC,76.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
531,San Andres,CO,80.62,thunderstorm,12.5847,-81.7006,Hotel Arena Blanca
532,Bubaque,GW,81.3,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
538,Emerald,AU,81.64,overcast clouds,-23.5333,148.1667,The Irish Village
542,Pointe-Noire,CG,77.07,overcast clouds,-4.7761,11.8635,Kactus Lodge
546,Roebourne,AU,81.97,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
549,Hobyo,SO,78.15,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
558,Manacapuru,BR,79.11,overcast clouds,-3.2997,-60.6206,Novo Hotel
561,Bull Savanna,JM,76.89,overcast clouds,17.8868,-77.5902,Big Red's
567,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
570,Domoni,KM,75.18,scattered clouds,-12.2569,44.5319,Al Djadid
586,Emilio Carranza,MX,75.31,broken clouds,19.9711,-96.6114,Hotel Carranza Inn
589,Niquero,CU,79.02,overcast clouds,20.0431,-77.5828,Islazul Niquero
597,Veraval,IN,82.44,clear sky,20.9,70.3667,Lords Inn Somnath
